# TAMU-AERO402 - Airplane
# Test 1620 Run   17
# Qact Sweep - ATLAS_Aileron - Static Tare [11]
# XML - f456c610f4ca9d701a95d4090f1bb1f7
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.502       0.129    2096.610      82.823      -0.003       0.002      -0.000      -0.103       0.002      -0.000       0.004      -0.011      -0.262       0.061       0.000      -0.092       0.003      -0.011      -0.262       0.061       0.000      -0.092
        1      8.71      88.1       9.749       0.327    2096.470      85.088      -0.003       0.002      -0.000      -0.037      -0.001      -0.130       0.349       0.029       1.122      -0.222      -0.552       0.011       0.349       0.029       1.122      -0.222      -0.552       0.011
        2      8.67      87.9       9.732       0.350    2096.450      85.259       0.000       0.002      -0.000      -0.035       0.008      -1.203       0.420      -0.064       1.166      -1.936      -0.404       0.086       0.420      -0.064       1.166      -1.936      -0.404       0.087
        3      8.69      88.0       9.754       0.348    2096.470      85.365       0.000       0.002      -0.000      -0.031       0.011      -1.101       0.396      -0.096       1.224      -1.747      -0.539       0.075       0.396      -0.096       1.224      -1.746      -0.539       0.076
        4      8.71      88.2       9.753       0.329    2096.490      85.239       0.000       0.002      -0.000      -0.042       0.007      -0.204       0.347      -0.056       1.028      -0.299      -0.562       0.029       0.348      -0.056       1.028      -0.299      -0.562       0.030
        5      8.69      88.0       9.749       0.349    2096.460      85.223       0.000       0.002      -0.000      -0.046      -0.005       0.651       0.347       0.070       0.958       1.030      -0.461      -0.012       0.348       0.070       0.958       1.029      -0.461      -0.013
        6      8.68      88.0       9.732       0.335    2096.480      85.285       0.000       0.002      -0.000      -0.057      -0.018       1.183       0.417       0.218       0.785       1.819      -0.398      -0.022       0.418       0.218       0.784       1.818      -0.399      -0.024
        7      8.69      88.1       9.741       0.319    2096.480      85.184      -0.003       0.002      -0.000      -0.039      -0.001      -0.101       0.348       0.027       1.091      -0.174      -0.540       0.012       0.349       0.027       1.091      -0.174      -0.540       0.012
        8      1.00      29.8       0.534       0.143    2096.490      84.163       0.000       0.002      -0.000      -0.104       0.000       0.007       0.064       0.145      -0.356       0.045       0.042      -0.090       0.063       0.145      -0.356       0.045       0.042      -0.090
