# TAMU-AERO402 - Airplane
# Test 1620 Run   18
# Qact Sweep - ATLAS_ElevatorSweep_Cruise - Static Tare [11]
# XML - de0035138b5e784f446ea427e68e5f98
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.498       0.103    2096.300      82.445       0.000       0.002      -0.000      -0.103       0.002       0.001       0.037      -0.007      -0.298       0.035       0.041      -0.101       0.036      -0.007      -0.298       0.035       0.041      -0.101
        1      8.69      88.1       9.733       0.319    2096.240      85.226       0.000       0.002      -0.000      -0.036       0.005      -0.165       0.347      -0.030       1.138      -0.250      -0.558       0.027       0.348      -0.030       1.138      -0.250      -0.558       0.027
        2      8.71      88.2       9.756       0.340    2096.240      85.392       0.000       0.002      -0.000      -0.030       0.001      -0.104       0.405       0.006       1.246      -0.171      -1.474       0.033       0.406       0.006       1.246      -0.171      -1.474       0.033
        3      8.70      88.1       9.746       0.335    2096.240      85.456       0.000       0.002      -0.000      -0.033       0.001      -0.137       0.372       0.010       1.186      -0.227      -1.069       0.017       0.373       0.010       1.186      -0.227      -1.069       0.017
        4      8.70      88.1       9.753       0.331    2096.240      85.362      -0.003       0.002      -0.000      -0.038       0.000      -0.135       0.350       0.014       1.105      -0.221      -0.537       0.011       0.351       0.014       1.105      -0.221      -0.537       0.011
        5      8.70      88.1       9.768       0.350    2096.220      85.433       0.000       0.002      -0.000      -0.048       0.003      -0.222       0.355      -0.009       0.932      -0.356       0.036      -0.002       0.356      -0.009       0.932      -0.356       0.036      -0.002
        6      8.69      88.1       9.753       0.340    2096.210      85.382       0.000       0.002      -0.000      -0.054       0.005      -0.260       0.390      -0.039       0.826      -0.400       0.542      -0.010       0.390      -0.039       0.826      -0.401       0.542      -0.009
        7      8.69      88.1       9.751       0.341    2096.210      85.148       0.000       0.002      -0.000      -0.041       0.002      -0.206       0.346      -0.008       1.059      -0.330      -0.545       0.015       0.347      -0.008       1.059      -0.330      -0.545       0.015
        8      1.00      29.8       0.545       0.130    2096.230      84.435       0.000       0.002      -0.000      -0.102       0.003      -0.002       0.040      -0.122      -0.115       0.070      -0.027      -0.068       0.040      -0.122      -0.115       0.069      -0.027      -0.068
