# TAMU-AERO402 - Airplane
# Test 1620 Run   19
# Qact Sweep - ATLAS_Rudder - Static Tare [11]
# XML - d1a2cfc96e45226a430ed20af85d486e
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.534       0.142    2096.250      84.093       0.000       0.002      -0.000      -0.102       0.003      -0.002       0.090      -0.124      -0.096       0.060      -0.033      -0.083       0.090      -0.124      -0.096       0.060      -0.033      -0.083
        1      8.66      88.0       9.715       0.342    2096.220      85.752      -0.003       0.002      -0.000      -0.040       0.005      -0.172       0.346      -0.033       1.078      -0.257      -0.548       0.012       0.346      -0.033       1.078      -0.257      -0.548       0.012
        2      8.65      87.9       9.698       0.336    2096.220      85.558      -0.003       0.002      -0.000      -0.036      -0.013      -0.054       0.381       0.163       1.142      -0.173      -0.557      -0.545       0.382       0.163       1.142      -0.173      -0.557      -0.545
        3      8.65      87.9       9.691       0.330    2096.220      85.534       0.000       0.002      -0.000      -0.035      -0.016      -0.065       0.361       0.198       1.160      -0.215      -0.557      -0.339       0.362       0.198       1.160      -0.216      -0.557      -0.339
        4      8.66      87.9       9.704       0.338    2096.210      85.330      -0.003       0.002      -0.000      -0.041       0.002      -0.161       0.351      -0.008       1.052      -0.253      -0.547       0.018       0.352      -0.008       1.052      -0.253      -0.547       0.018
        5      8.66      87.9       9.710       0.336    2096.210      85.563       0.000       0.002      -0.000      -0.039       0.008      -0.202       0.351      -0.066       1.097      -0.292      -0.548       0.156       0.351      -0.066       1.096      -0.291      -0.548       0.156
        6      8.64      87.8       9.673       0.313    2096.210      85.574       0.000       0.002      -0.000      -0.036       0.029      -0.331       0.387      -0.299       1.145      -0.374      -0.536       0.562       0.388      -0.299       1.145      -0.373      -0.536       0.562
        7      8.70      88.1       9.751       0.336    2096.200      85.343       0.003       0.002      -0.000      -0.041      -0.002      -0.139       0.349       0.042       1.051      -0.252      -0.552      -0.004       0.350       0.042       1.051      -0.252      -0.552      -0.004
        8      1.00      29.9       0.551       0.138    2096.250      84.692       0.003       0.002      -0.000      -0.101       0.002       0.004       0.062      -0.034       0.073       0.057       0.020      -0.064       0.063      -0.034       0.073       0.057       0.020      -0.064
