# TAMU-AERO402 - Airplane
# Test 1620 Run   21
# Theta Sweep - ATLAS_Throttle_Elevator_Takeoff - Static Tare [20]
# XML - b1101f1fdb78efd046cc79566ce32409
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.553       0.162    2096.450      83.885       0.000       0.002      -0.000      -0.103       0.003      -0.002       0.010      -0.335      -0.135       0.098       0.019      -0.035       0.009      -0.335      -0.135       0.098       0.019      -0.035
        1      1.62      38.0       2.311       0.279    2096.410      84.441       0.003       0.002      -0.000      -0.088       0.003      -0.051       0.421      -0.233       1.350      -0.369      -0.574      -0.044       0.423      -0.233       1.349      -0.369      -0.574      -0.043
        2      1.65      38.4       2.269       0.225    2096.380      84.531       0.000       8.002      -0.000       7.932       0.002      -0.071      -1.818      -0.168       3.409      -0.566       1.339      -0.059      -2.271      -0.168       3.126      -0.553       1.339      -0.137
        3      1.64      38.2       2.260       0.226    2096.400      84.618       0.003       8.002      -0.000       7.939       0.003      -0.081      -1.870      -0.194       4.050      -0.660       0.175      -0.060      -2.412      -0.194       3.753      -0.645       0.175      -0.151
        4      1.63      38.2       2.247       0.232    2096.380      84.776       0.000       8.002      -0.000       7.944      -0.003      -0.052      -1.819       0.129       4.525      -0.563      -1.468       0.013      -2.427       0.129       4.231      -0.559      -1.468      -0.065
        5      1.61      37.9       2.180       0.207    2096.380      84.395       0.000       8.002      -0.000       7.945      -0.001      -0.048      -1.629       0.036       4.673      -0.483      -1.503       0.002      -2.259       0.036       4.403      -0.479      -1.503      -0.065
        6      1.65      38.3       2.236       0.201    2096.370      84.292       0.003       8.002      -0.000       7.943       0.003      -0.060      -1.418      -0.222       4.343      -0.451      -1.498       0.016      -2.004      -0.222       4.106      -0.449      -1.498      -0.047
        7      1.63      38.1       2.256       0.252    2096.400      84.687       0.000       0.002      -0.000      -0.098       0.004      -0.049       0.026      -0.291       0.456      -0.296       0.961      -0.030       0.027      -0.291       0.456      -0.296       0.961      -0.030
        8      1.00      29.8       0.501       0.173    2096.390      84.461       0.000       0.002      -0.000      -0.102       0.001       0.003       0.041      -0.197       0.073       0.095      -0.067      -0.067       0.041      -0.197       0.073       0.095      -0.067      -0.067
