# TAMU-AERO402 - Airplane
# Test 1620 Run   23
# Qact Sweep - ATLAS_MaxR_ThrottleSweep_Cruise - Static Tare [20]
# XML - 1bc3bafae35de99c78bf97ced2733bbe
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.065       0.064    2096.210      83.327       0.000       0.002      -0.000      -0.101      -0.001       0.012       0.098       0.030       0.225       0.104      -0.098      -0.024       0.098       0.030       0.225       0.104      -0.098      -0.024
        1      8.72      88.2       9.238       0.234    2096.180      85.468       0.003       0.002      -0.000      -0.040       0.004      -0.146       0.397      -0.045       1.090      -0.224      -0.545      -0.000       0.398      -0.045       1.089      -0.224      -0.545      -0.000
        2      8.68      88.0       9.219       0.268    2096.180      85.337      -0.003       0.002      -0.000      -0.043      -0.019      -0.010       0.422       0.197       1.039      -0.129      -0.528      -0.544       0.423       0.197       1.039      -0.129      -0.528      -0.544
        3      8.69      88.0       9.195       0.257    2096.150      85.378       0.000       0.002      -0.000      -0.040      -0.013      -0.029       0.422       0.140       1.090      -0.132      -0.530      -0.531       0.423       0.140       1.090      -0.132      -0.530      -0.531
        4      8.68      88.0       9.208       0.252    2096.160      85.235       0.000       0.002      -0.000      -0.034       0.028      -0.303       0.425      -0.310       1.197      -0.329      -0.557       0.553       0.425      -0.310       1.197      -0.328      -0.557       0.553
        5      8.67      88.0       9.209       0.262    2096.140      85.316       0.000       0.002      -0.000      -0.037       0.025      -0.300       0.433      -0.274       1.144      -0.344      -0.539       0.543       0.434      -0.275       1.144      -0.343      -0.539       0.543
        6      8.69      88.0       9.216       0.261    2096.140      85.074       0.003       0.002      -0.000      -0.039      -0.001      -0.132       0.395       0.010       1.110      -0.231      -0.546      -0.010       0.395       0.010       1.110      -0.231      -0.546      -0.010
        7      1.00      29.8       0.038       0.068    2096.120      84.122      -0.003       0.002      -0.000      -0.102       0.004      -0.006       0.061      -0.388       0.148       0.108      -0.020      -0.065       0.061      -0.388       0.148       0.108      -0.020      -0.065
