# TAMU-AERO402 - Airplane
# Test 1620 Run   22
# Qact Sweep - ATLAS_MaxE_ThrottleSweep_Cruise - Static Tare [20]
# XML - 6227e04470debea12b0d749866a1762a
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.006      -0.005    2096.220      83.351       0.000       0.002      -0.000      -0.101      -0.000       0.011       0.073      -0.026       0.212       0.113      -0.053      -0.047       0.073      -0.026       0.212       0.113      -0.053      -0.047
        1      8.71      88.2       9.243       0.203    2096.230      85.176       0.000       0.002      -0.000      -0.037       0.002      -0.130       0.400      -0.029       1.137      -0.203      -0.562       0.002       0.400      -0.029       1.136      -0.203      -0.562       0.002
        2      8.67      88.0       9.227       0.238    2096.200      85.046       0.000       0.002      -0.000      -0.056       0.009      -0.174       0.431      -0.103       0.822      -0.233       0.516      -0.011       0.432      -0.103       0.822      -0.233       0.516      -0.011
        3      8.68      88.0       9.235       0.227    2096.200      85.209       0.003       0.002      -0.000      -0.055       0.005      -0.162       0.434      -0.059       0.828      -0.243       0.510      -0.012       0.435      -0.059       0.827      -0.243       0.510      -0.012
        4      8.68      88.0       9.229       0.224    2096.190      85.327       0.000       0.002      -0.000      -0.029       0.002      -0.139       0.443      -0.028       1.293      -0.219      -1.486       0.047       0.444      -0.028       1.293      -0.219      -1.486       0.047
        5      8.68      88.0       9.227       0.223    2096.200      85.209       0.000       0.002      -0.000      -0.024       0.002      -0.168       0.436      -0.027       1.368      -0.266      -1.494       0.040       0.437      -0.027       1.367      -0.266      -1.494       0.040
        6      8.68      88.0       9.237       0.240    2096.190      85.112       0.000       0.002      -0.000      -0.041       0.004      -0.170       0.396      -0.053       1.084      -0.254      -0.538       0.004       0.397      -0.053       1.083      -0.254      -0.539       0.004
        7      1.00      29.8       0.063       0.035    2096.220      83.522      -0.003       0.002      -0.000      -0.102       0.002       0.001       0.070      -0.209       0.065       0.114      -0.043      -0.047       0.070      -0.209       0.065       0.114      -0.043      -0.047
