# TAMU-AERO402 - Airplane
# Test 1620 Run   16
# Theta Sweep - ATLAS_Elevator - Static Tare [11]
# XML - e42798a34e236c4660a5982f8d684db7
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.523       0.126    2097.060      82.544       0.000       0.002      -0.000      -0.100       0.001       0.004       0.041       0.039       0.178       0.060      -0.004      -0.082       0.041       0.039       0.178       0.060      -0.004      -0.082
        1      1.63      38.1       2.347       0.248    2096.900      83.952      -0.003       0.002      -0.000      -0.086       0.000      -0.011       0.370       0.078       1.409      -0.106      -0.641       0.019       0.373       0.078       1.408      -0.106      -0.641       0.019
        2      1.64      38.3       2.343       0.205    2096.850      84.194       0.000       8.002      -0.000       7.948      -0.004      -0.035       0.670       0.301       4.458      -0.453      -1.930       0.056       0.047       0.301       4.508      -0.456      -1.930      -0.007
        3      1.64      38.2       2.330       0.216    2096.860      83.824       0.003       8.002      -0.000       7.948      -0.001      -0.038       0.641       0.143       4.425      -0.409      -1.780       0.062       0.023       0.143       4.471      -0.413      -1.780       0.004
        4      1.64      38.2       2.323       0.199    2096.810      83.907       0.000       8.002      -0.000       7.944       0.001      -0.029       0.577       0.054       4.115      -0.266      -1.231       0.028       0.002       0.054       4.155      -0.267      -1.231      -0.009
        5      1.62      38.0       2.316       0.211    2096.810      83.860       0.000       8.002      -0.000       7.941       0.000      -0.035       0.553       0.075       3.843      -0.339      -0.489       0.009       0.017       0.075       3.882      -0.337      -0.489      -0.038
        6      1.63      38.0       2.341       0.215    2096.750      83.821       0.003       8.002      -0.000       7.940       0.004      -0.031       0.585      -0.120       3.728      -0.217      -0.027       0.008       0.065      -0.120       3.773      -0.216      -0.027      -0.023
        7      1.64      38.2       2.366       0.243    2096.720      84.684       0.000       0.002      -0.000      -0.089       0.002      -0.034       0.389      -0.036       1.137      -0.257      -0.577      -0.010       0.391      -0.036       1.137      -0.257      -0.577      -0.009
        8      1.00      29.8       0.567       0.165    2096.670      83.986       0.000       0.002      -0.000      -0.101       0.003      -0.003       0.083      -0.086       0.074       0.032      -0.031      -0.091       0.084      -0.086       0.074       0.032      -0.031      -0.091
